Rk,Season,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2020-21,2020-11-25,Iowa,,Northern Iowa,REG,W,1,26,10,17,.588,7,11,.636,3,6,.500,4,4,1.000,1,7,8,4,3,0,4,3,27
2,2020-21,2020-12-02,Iowa,@,Drake,REG,W,1,35,12,19,.632,9,9,1.000,3,10,.300,3,4,.750,0,3,3,13,4,1,5,4,30
3,2020-21,2020-12-05,Iowa,,Wisconsin,REG,W,1,31,8,23,.348,5,13,.385,3,10,.300,4,6,.667,0,5,5,5,1,0,4,1,23
4,2020-21,2020-12-09,Iowa,,Iowa State,REG,W,1,36,11,23,.478,6,10,.600,5,13,.385,7,8,.875,0,7,7,6,2,0,7,3,34
5,2020-21,2020-12-12,Iowa,@,Michigan State,REG,L,1,36,11,25,.440,7,15,.467,4,10,.400,9,9,1.000,1,6,7,4,1,2,4,1,35
6,2020-21,2020-12-22,Iowa,,Western Illinois,REG,W,1,28,3,15,.200,2,9,.222,1,6,.167,6,7,.857,0,13,13,10,3,1,4,1,13
7,2020-21,2020-12-31,Iowa,,Rutgers,REG,W,1,34,8,16,.500,5,8,.625,3,8,.375,9,11,.818,2,4,6,6,1,0,8,4,28
8,2020-21,2021-01-03,Iowa,@,Illinois,REG,W,1,27,7,16,.438,4,10,.400,3,6,.500,4,5,.800,1,3,4,4,2,0,3,0,21
9,2020-21,2021-01-06,Iowa,,Minnesota,REG,W,1,32,12,19,.632,7,10,.700,5,9,.556,8,9,.889,1,10,11,5,0,1,4,1,37
10,2020-21,2021-01-09,Iowa,@,Northwestern,REG,L,1,32,3,12,.250,2,7,.286,1,5,.200,1,2,.500,1,1,2,8,0,0,4,5,8
11,2020-21,2021-01-13,Iowa,,Ohio State,REG,L,1,40,9,20,.450,6,11,.545,3,9,.333,6,8,.750,2,8,10,5,1,2,6,1,27
12,2020-21,2021-01-18,Iowa,,Purdue,REG,W,1,30,8,20,.400,6,11,.545,2,9,.222,8,12,.667,1,8,9,4,3,1,6,2,26
13,2020-21,2021-01-28,Iowa,,Northwestern,REG,L,1,27,8,16,.500,4,4,1.000,4,12,.333,3,4,.750,0,2,2,8,0,0,3,4,23
14,2020-21,2021-01-31,Iowa,@,Minnesota,REG,W,1,28,7,16,.438,4,8,.500,3,8,.375,5,6,.833,3,1,4,11,1,0,5,3,22
15,2020-21,2021-02-04,Iowa,@,Ohio State,REG,L,1,36,10,21,.476,6,10,.600,4,11,.364,6,6,1.000,0,4,4,9,0,0,7,5,30
16,2020-21,2021-02-07,Iowa,,Indiana,REG,L,1,36,12,27,.444,8,15,.533,4,12,.333,2,3,.667,1,3,4,1,0,0,6,3,30
17,2020-21,2021-02-11,Iowa,@,Nebraska,REG,W,1,38,12,18,.667,6,8,.750,6,10,.600,9,9,1.000,1,9,10,9,1,0,7,2,39
18,2020-21,2021-02-18,Iowa,,Penn State,REG,W,1,38,12,21,.571,6,10,.600,6,11,.545,2,2,1.000,0,6,6,7,1,1,4,1,32
19,2020-21,2021-02-23,Iowa,@,Maryland,REG,L,1,32,11,20,.550,2,4,.500,9,16,.563,3,3,1.000,0,3,3,7,1,0,6,2,34
20,2020-21,2021-02-25,Iowa,,Michigan,REG,W,1,36,10,17,.588,3,5,.600,7,12,.583,0,0,,0,5,5,9,1,1,6,2,27
21,2020-21,2021-02-28,Iowa,@,Wisconsin,REG,W,1,38,4,13,.308,1,4,.250,3,9,.333,7,7,1.000,1,6,7,14,1,2,4,1,18
22,2020-21,2021-03-03,Iowa,@,Indiana,REG,L,1,33,11,18,.611,6,11,.545,5,7,.714,5,6,.833,0,2,2,5,1,0,3,5,32
23,2020-21,2021-03-06,Iowa,,Nebraska,REG,W,1,34,11,19,.579,6,9,.667,5,10,.500,8,8,1.000,1,7,8,4,1,0,3,0,35
24,2020-21,2021-03-10,Iowa,,Purdue,CTOURN,W,1,36,8,21,.381,6,13,.462,2,8,.250,9,11,.818,0,7,7,9,1,0,4,1,27
25,2020-21,2021-03-11,Iowa,@,Rutgers,CTOURN,W,1,37,7,15,.467,5,8,.625,2,7,.286,5,5,1.000,0,2,2,10,1,0,5,3,21
26,2020-21,2021-03-12,Iowa,,Michigan State,CTOURN,W,1,36,6,21,.286,3,11,.273,3,10,.300,5,5,1.000,0,3,3,11,2,0,3,3,20
27,2020-21,2021-03-13,Iowa,@,Maryland,CTOURN,L,1,36,7,18,.389,3,8,.375,4,10,.400,3,4,.750,0,8,8,7,0,0,6,3,21
28,2020-21,2021-03-21,Iowa,N,Central Michigan,ROUND-64,W,1,36,8,16,.500,5,8,.625,3,8,.375,4,5,.800,0,7,7,7,2,0,3,2,23
29,2020-21,2021-03-23,Iowa,N,Kentucky,ROUND-32,W,1,37,13,21,.619,7,9,.778,6,12,.500,3,3,1.000,0,7,7,7,1,1,5,1,35
30,2020-21,2021-03-27,Iowa,N,UConn,ROUND-16,L,1,39,7,21,.333,3,9,.333,4,12,.333,3,4,.750,1,2,3,5,2,1,5,2,21
31,2021-22,2021-11-09,Iowa,,New Hampshire,REG,W,1,26,6,10,.600,3,3,1.000,3,7,.429,11,11,1.000,0,8,8,6,2,1,5,3,26
32,2021-22,2021-11-11,Iowa,,Samford,REG,W,1,25,8,14,.571,5,6,.833,3,8,.375,0,0,,0,4,4,4,0,0,2,1,19
33,2021-22,2021-11-14,Iowa,@,Northern Iowa,REG,W,1,37,9,22,.409,5,9,.556,4,13,.308,3,5,.600,0,11,11,7,2,0,4,2,25
34,2021-22,2021-11-17,Iowa,,Southern,REG,W,1,29,2,9,.222,1,3,.333,1,6,.167,11,12,.917,0,10,10,10,3,1,6,1,16
35,2021-22,2021-12-02,Iowa,@,Duke,REG,L,1,35,9,27,.333,8,14,.571,1,13,.077,3,3,1.000,0,9,9,8,1,0,2,4,22
36,2021-22,2021-12-05,Iowa,,Michigan State,REG,W,1,32,9,25,.360,7,15,.467,2,10,.200,4,4,1.000,4,6,10,12,2,1,2,3,24
37,2021-22,2021-12-08,Iowa,@,Iowa State,REG,L,1,40,10,26,.385,6,14,.429,4,12,.333,2,2,1.000,0,7,7,3,2,1,6,3,26
38,2021-22,2021-12-18,Iowa,,UCF,REG,W,1,38,5,18,.278,2,6,.333,3,12,.250,8,11,.727,2,9,11,6,0,0,4,3,21
39,2021-22,2021-12-21,Iowa,,IUPUI,REG,L,1,34,6,16,.375,5,9,.556,1,7,.143,6,6,1.000,0,11,11,4,2,1,4,3,19
40,2021-22,2022-01-02,Iowa,,Evansville,REG,W,1,30,18,26,.692,16,19,.842,2,7,.286,6,7,.857,0,5,5,8,2,0,1,1,44
41,2021-22,2022-01-06,Iowa,,Northwestern,REG,L,1,38,8,17,.471,7,9,.778,1,8,.125,13,13,1.000,0,3,3,5,1,1,4,2,30
42,2021-22,2022-01-09,Iowa,@,Nebraska,REG,W,1,40,11,24,.458,10,18,.556,1,6,.167,8,9,.889,1,7,8,12,2,1,7,1,31
43,2021-22,2022-01-13,Iowa,@,Purdue,REG,W,1,38,5,14,.357,5,8,.625,0,6,.000,14,16,.875,0,8,8,9,0,0,3,3,24
44,2021-22,2022-01-16,Iowa,,Nebraska,REG,W,1,36,9,22,.409,8,18,.444,1,4,.250,12,12,1.000,0,10,10,10,4,2,3,2,31
45,2021-22,2022-01-20,Iowa,@,Minnesota,REG,W,1,35,14,21,.667,10,15,.667,4,6,.667,3,4,.750,0,13,13,11,0,0,4,1,35
46,2021-22,2022-01-23,Iowa,,Illinois,REG,W,1,29,8,17,.471,6,12,.500,2,5,.400,0,1,.000,1,7,8,7,2,1,6,2,18
47,2021-22,2022-01-25,Iowa,@,Penn State,REG,W,1,35,6,17,.353,2,7,.286,4,10,.400,4,4,1.000,1,6,7,18,0,0,4,3,20
48,2021-22,2022-01-28,Iowa,@,Northwestern,REG,W,1,45,8,22,.364,5,14,.357,3,8,.375,9,9,1.000,1,10,11,5,0,1,11,1,28
49,2021-22,2022-01-31,Iowa,,Ohio State,REG,L,1,36,16,28,.571,9,14,.643,7,14,.500,4,6,.667,0,4,4,7,0,0,7,3,43
50,2021-22,2022-02-03,Iowa,@,Wisconsin,REG,W,1,31,12,18,.667,11,14,.786,1,4,.250,2,2,1.000,1,10,11,11,0,0,4,4,27
51,2021-22,2022-02-06,Iowa,@,Michigan,REG,L,1,40,14,29,.483,8,16,.500,6,13,.462,12,14,.857,1,3,4,10,3,0,4,4,46
52,2021-22,2022-02-09,Iowa,,Minnesota,REG,W,1,38,10,20,.500,6,12,.500,4,8,.500,8,11,.727,0,8,8,6,3,1,2,1,32
53,2021-22,2022-02-14,Iowa,,Maryland,REG,L,1,40,7,25,.280,4,12,.333,3,13,.231,2,3,.667,0,6,6,6,1,0,10,3,19
54,2021-22,2022-02-19,Iowa,@,Indiana,REG,W,1,36,7,17,.412,6,12,.500,1,5,.200,3,6,.500,0,4,4,12,1,1,4,4,18
