ncaa_id,team,conference,int_players_23_24,total_23_24,int_player_perc_23_24
26172,A&M-Corpus Christi,Southland,7,14,50
158,Columbia,Ivy League,7,15,46.666666666666664
380,Maine,America East,7,15,46.666666666666664
419,Middle Tennessee,C-USA,7,15,46.666666666666664
551,Portland,WCC,7,15,46.666666666666664
367,Louisville,ACC,5,13,38.46153846153847
109,UC Irvine,Big West,5,14,35.714285714285715
30135,California Baptist,WAC,4,12,33.33333333333333
234,Florida State,ACC,4,12,33.33333333333333
528,Oregon State,Pac-12,4,13,30.76923076923077
688,Syracuse,ACC,4,13,30.76923076923077
260,Gonzaga,WCC,4,14,28.57142857142857
1320,Presbyterian College,Big South,4,14,28.57142857142857
164,UConn,Big East,4,14,28.57142857142857
732,Utah,Pac-12,4,14,28.57142857142857
29,Arizona,Pac-12,3,11,27.27272727272727
110,UCLA,Pac-12,3,12,25
157,Colorado,Pac-12,4,17,23.52941176470588
311,Iowa State,Big 12,3,13,23.076923076923077
328,Kansas,Big 12,3,13,23.076923076923077
191,Drexel,CAA,3,14,21.428571428571427
28755,Florida Gulf Coast,ASUN,3,16,18.75
306,Indiana,Big Ten,2,12,16.666666666666664
387,Marquette,Big East,2,12,16.666666666666664
674,Stanford,Pac-12,2,12,16.666666666666664
742,Virginia Tech,ACC,2,12,16.666666666666664
51,Baylor,Big 12,2,13,15.384615384615385
418,Michigan,Big Ten,2,13,15.384615384615385
416,Michigan State,Big Ten,2,13,15.384615384615385
463,Nebraska,Big Ten,2,13,15.384615384615385
768,West Virginia,Big 12,2,13,15.384615384615385
693,Chattanooga,SoCon,2,14,14.285714285714285
285,Holy Cross,Patriot,2,14,14.285714285714285
392,Maryland,Big Ten,2,14,14.285714285714285
37,Auburn,SEC,2,15,13.333333333333334
327,Kansas State,Big 12,2,15,13.333333333333334
433,Mississippi,SEC,2,15,13.333333333333334
518,Ohio State,Big Ten,2,15,13.333333333333334
697,Texas A&M,SEC,2,15,13.333333333333334
207,Eastern Washington,Big Sky,2,17,11.76470588235294
193,Duke,ACC,1,11,9.090909090909092
648,South Carolina,SEC,1,11,9.090909090909092
490,NC State,ACC,1,12,8.333333333333332
365,LSU,SEC,1,13,7.6923076923076925
513,Notre Dame,ACC,1,13,7.6923076923076925
657,Southern Cal,Pac-12,1,13,7.6923076923076925
736,Vanderbilt,SEC,1,13,7.6923076923076925
331,Kent State,MAC,1,14,7.142857142857142
220,Fairfield,MAAC,1,15,6.666666666666667
574,Rice,C-USA,1,15,6.666666666666667
575,Richmond,Atlantic 10,1,15,6.666666666666667
703,Texas,Big 12,1,15,6.666666666666667
695,UT Martin,OVC,1,16,6.25
554,Princeton,Ivy League,1,17,5.88235294117647
8,Alabama,SEC,0,11,0
169,Creighton,Big East,0,11,0
189,Drake,MVC,0,13,0
794,Green Bay,Horizon,0,13,0
312,Iowa,Big Ten,0,14,0
314,Jackson St.,SWAC,0,17,0
388,Marshall,Sun Belt,0,17,0
485,Norfolk State,MEAC,0,13,0
457,North Carolina,ACC,0,15,0
522,Oklahoma,Big 12,0,14,0
590,Sacred Heart,NEC,0,13,0
649,South Dakota State,Summit League,0,12,0
694,Tennessee,SEC,0,13,0
465,UNLV,Mountain West,0,14,0
