country_clean,int_players_23_24,int_players_22_23,diff,perc_23_24,perc_22_23,perc_change
SPAIN,144,118,26,17.69041769041769,15.712383488681759,22.033898305084744
CANADA,131,112,19,16.093366093366093,14.913448735019974,16.964285714285715
AUSTRALIA,101,124,-23,12.407862407862408,16.511318242343542,-18.548387096774192
SWEDEN,36,29,7,4.422604422604422,3.861517976031957,24.137931034482758
FRANCE,26,26,0,3.194103194103194,3.462050599201065,0
GREECE,24,21,3,2.9484029484029484,2.796271637816245,14.285714285714285
NEW ZEALAND,21,19,2,2.5798525798525795,2.5299600532623168,10.526315789473683
GERMANY,19,12,7,2.334152334152334,1.5978695073235687,58.333333333333336
NETHERLANDS,19,16,3,2.334152334152334,2.130492676431425,18.75
UNITED KINGDOM,17,16,1,2.0884520884520885,2.130492676431425,6.25
CROATIA,15,13,2,1.8427518427518428,1.7310252996005324,15.384615384615385
ISRAEL,15,10,5,1.8427518427518428,1.3315579227696404,50
NIGERIA,15,16,-1,1.8427518427518428,2.130492676431425,-6.25
DENMARK,14,15,-1,1.71990171990172,1.9973368841544608,-6.666666666666667
BRAZIL,12,13,-1,1.4742014742014742,1.7310252996005324,-7.6923076923076925
FINLAND,12,11,1,1.4742014742014742,1.4647137150466045,9.090909090909092
SENEGAL,12,6,6,1.4742014742014742,0.7989347536617843,100
ITALY,10,8,2,1.2285012285012284,1.0652463382157125,25
PORTUGAL,10,13,-3,1.2285012285012284,1.7310252996005324,-23.076923076923077
RUSSIA,10,10,0,1.2285012285012284,1.3315579227696404,0
HUNGARY,9,8,1,1.1056511056511056,1.0652463382157125,12.5
MALI,9,6,3,1.1056511056511056,0.7989347536617843,50
CZECH REPUBLIC,7,6,1,0.85995085995086,0.7989347536617843,16.666666666666664
SERBIA,7,6,1,0.85995085995086,0.7989347536617843,16.666666666666664
TURKEY,7,7,0,0.85995085995086,0.9320905459387484,0
ARGENTINA,6,4,2,0.7371007371007371,0.5326231691078562,50
ICELAND,6,4,2,0.7371007371007371,0.5326231691078562,50
IRELAND,6,4,2,0.7371007371007371,0.5326231691078562,50
LATVIA,6,11,-5,0.7371007371007371,1.4647137150466045,-45.45454545454545
MOZAMBIQUE,6,3,3,0.7371007371007371,0.3994673768308922,100
AUSTRIA,5,2,3,0.6142506142506142,0.2663115845539281,150
DOMINICAN REPUBLIC,5,2,3,0.6142506142506142,0.2663115845539281,150
SWITZERLAND,5,5,0,0.6142506142506142,0.6657789613848202,0
CHILE,4,2,2,0.4914004914004914,0.2663115845539281,100
ESTONIA,4,4,0,0.4914004914004914,0.5326231691078562,0
LITHUANIA,4,2,2,0.4914004914004914,0.2663115845539281,100
POLAND,4,9,-5,0.4914004914004914,1.1984021304926764,-55.55555555555556
KENYA,3,2,1,0.36855036855036855,0.2663115845539281,50
LUXEMBOURG,3,4,-1,0.36855036855036855,0.5326231691078562,-25
MEXICO,3,2,1,0.36855036855036855,0.2663115845539281,50
RWANDA,3,3,0,0.36855036855036855,0.3994673768308922,0
ANGOLA,2,1,1,0.2457002457002457,0.13315579227696406,100
BELGIUM,2,3,-1,0.2457002457002457,0.3994673768308922,-33.33333333333333
BOSNIA & HERZEGOVINA,2,2,0,0.2457002457002457,0.2663115845539281,0
CHINA,2,1,1,0.2457002457002457,0.13315579227696406,100
COLOMBIA,2,3,-1,0.2457002457002457,0.3994673768308922,-33.33333333333333
DEMOCRATIC REPUBLIC OF THE CONGO,2,2,0,0.2457002457002457,0.2663115845539281,0
EGYPT,2,1,1,0.2457002457002457,0.13315579227696406,100
FRENCH GUIANA,2,1,1,0.2457002457002457,0.13315579227696406,100
INDIA,2,2,0,0.2457002457002457,0.2663115845539281,0
JAMAICA,2,1,1,0.2457002457002457,0.13315579227696406,100
NORTHERN IRELAND,2,2,0,0.2457002457002457,0.2663115845539281,0
NORWAY,2,4,-2,0.2457002457002457,0.5326231691078562,-50
ROMANIA,2,3,-1,0.2457002457002457,0.3994673768308922,-33.33333333333333
SLOVAKIA,2,3,-1,0.2457002457002457,0.3994673768308922,-33.33333333333333
BELARUS,1,1,0,0.12285012285012285,0.13315579227696406,0
BULGARIA,1,3,-2,0.12285012285012285,0.3994673768308922,-66.66666666666666
CAPE VERDE,1,1,0,0.12285012285012285,0.13315579227696406,0
JAPAN,1,3,-2,0.12285012285012285,0.3994673768308922,-66.66666666666666
KOSOVO,1,2,-1,0.12285012285012285,0.2663115845539281,-50
PERU,1,1,0,0.12285012285012285,0.13315579227696406,0
REPUBLIC OF GEORGIA,1,1,0,0.12285012285012285,0.13315579227696406,0
SCOTLAND,1,2,-1,0.12285012285012285,0.2663115845539281,-50
TAIWAN,1,1,0,0.12285012285012285,0.13315579227696406,0
UGANDA,1,2,-1,0.12285012285012285,0.2663115845539281,-50
VENEZUELA,1,1,0,0.12285012285012285,0.13315579227696406,0
